year,nb_lv,nb_lv_sup2,nb_lv_inf2,nb_lp,n_arr_used,CODGEO_25,LIBGEO_25,tx_lv,tx_lv_sup2,tx_lv_inf2,share_structural
2020,54725,11613,43112,396073,16,13055,Marseille,0.14,0.03,0.11,0.21
2021,53667,11729,41938,391898,16,13055,Marseille,0.14,0.03,0.11,0.22
2022,52193,10812,41381,394894,16,13055,Marseille,0.13,0.03,0.1,0.21
2023,60144,10718,49426,397787,16,13055,Marseille,0.15,0.03,0.12,0.18
2024,55107,14529,40578,400146,16,13055,Marseille,0.14,0.04,0.1,0.26
2025,33376,17915,15461,NA,16,13055,Marseille,NA,NA,NA,0.54
2020,122856,18648,104208,1136856,20,75056,Paris,0.11,0.02,0.09,0.15
2021,124555,19822,104733,1134924,20,75056,Paris,0.11,0.02,0.09,0.16
2022,129788,20380,109408,1132827,20,75056,Paris,0.11,0.02,0.1,0.16
2023,150072,21489,128583,1130872,20,75056,Paris,0.13,0.02,0.11,0.14
2024,142848,32091,110757,1125864,20,75056,Paris,0.13,0.03,0.1,0.22
2025,75774,36205,39569,NA,20,75056,Paris,NA,NA,NA,0.48
2020,27687,2928,24759,256694,9,69123,Lyon,0.11,0.01,0.1,0.11
2021,28556,3065,25491,257505,9,69123,Lyon,0.11,0.01,0.1,0.11
2022,28759,2964,25795,259780,9,69123,Lyon,0.11,0.01,0.1,0.1
2023,32991,3383,29608,261043,9,69123,Lyon,0.13,0.01,0.11,0.1
2024,29649,5590,24059,262154,9,69123,Lyon,0.11,0.02,0.09,0.19
2025,15936,6658,9278,NA,9,69123,Lyon,NA,NA,NA,0.42
2025,15210,7327,7883,NA,1,06088,Nice,NA,NA,NA,0.48
2024,27120,6227,20893,222449,1,06088,Nice,0.12,0.03,0.09,0.23
2023,29748,4388,25360,221822,1,06088,Nice,0.13,0.02,0.11,0.15
2022,28347,4083,24264,220682,1,06088,Nice,0.13,0.02,0.11,0.14
2021,26005,4419,21586,219500,1,06088,Nice,0.12,0.02,0.1,0.17
2020,25885,4010,21875,218311,1,06088,Nice,0.12,0.02,0.1,0.15
2025,11774,4746,7028,NA,1,33063,Bordeaux,NA,NA,NA,0.4
2024,20620,3613,17007,149825,1,33063,Bordeaux,0.14,0.02,0.11,0.18
2023,22594,2852,19742,149317,1,33063,Bordeaux,0.15,0.02,0.13,0.13
2022,21838,2627,19211,150773,1,33063,Bordeaux,0.14,0.02,0.13,0.12
2021,21654,2676,18978,149248,1,33063,Bordeaux,0.15,0.02,0.13,0.12
2020,20291,2513,17778,148853,1,33063,Bordeaux,0.14,0.02,0.12,0.12
2025,9150,3731,5419,NA,1,34172,Montpellier,NA,NA,NA,0.41
2024,17563,3634,13929,150201,1,34172,Montpellier,0.12,0.02,0.09,0.21
2023,21446,2964,18482,149304,1,34172,Montpellier,0.14,0.02,0.12,0.14
2022,21398,3053,18345,148224,1,34172,Montpellier,0.14,0.02,0.12,0.14
2021,22610,2970,19640,145822,1,34172,Montpellier,0.16,0.02,0.13,0.13
2020,21304,2962,18342,143850,1,34172,Montpellier,0.15,0.02,0.13,0.14
2025,10239,4600,5639,NA,1,59350,Lille,NA,NA,NA,0.45
2024,16743,4338,12405,116789,1,59350,Lille,0.14,0.04,0.11,0.26
2023,20225,3088,17137,116139,1,59350,Lille,0.17,0.03,0.15,0.15
2022,18055,2783,15272,115425,1,59350,Lille,0.16,0.02,0.13,0.15
2021,18339,3116,15223,114611,1,59350,Lille,0.16,0.03,0.13,0.17
2020,20130,3398,16732,113703,1,59350,Lille,0.18,0.03,0.15,0.17
