annee,base_nette,taux_vote,montant_reel,nb_articles,base_metro,taux_metro,base_exo_neuf,base_par_article,taux_total,recettes_implicites,croissance_base,taux_ref,recettes_si_taux_cst,effet_base,effet_taux,index_base,index_recettes,index_taux,part_exo_neuf
2013,856457756,22.9,196131433,304342,856457756,1.88,11973899,2814.1293544762143,24.779999999999998,212230231.93679997,NA,22.9,196128826.12399998,0,2606.8760000169277,100,100,100,1.3787957786960219
2014,875908966,22.9,200585759,308861,875908966,3.88,12087232,2835.932558659073,26.779999999999998,234568421.0948,2.2711231072090277,22.9,200583153.214,4454327.090000004,2605.7860000133514,102.27112310720902,102.2710923648837,100,1.3611806027124453
2015,898395326,24.02,215794093,314141,898395326,3.88,11959380,2859.84741246765,27.9,250652295.95399997,2.5672028570147054,22.9,205732529.65399998,9603703.530000001,10061563.346000016,104.89663030151834,110.02524669260944,104.89082969432314,1.313705517330516
2016,914506355,24.02,219659950,316552,909272909,2.59,7640124,2888.9609132148903,26.61,243350141.0655,1.793311756388194,22.9,209421955.295,13293129.171000004,10237994.705000013,106.77775390477053,111.99630097027844,104.89082969432314,0.8285152276767518
2017,933320679,24.0199999809265,224140338,322051,924103911,2.5899999961257,2334677,2898.052417163741,26.609999977052198,248356632.46772343,2.0573202030947035,22.9,213730435.491,17601609.367000014,10409902.509000003,108.97451420826411,114.28068136329786,104.89082961103276,0.24952318019969738
2018,951483148,24.019999980926514,228271992,326700,942402651,2.589999996125698,2402512,2912.40632996633,26.60999997705221,253189665.4644557,1.9460052057841626,22.9,217889640.89199996,21760814.767999977,10382351.10800004,111.09516392773493,116.38725547882984,104.89082961103281,0.25186582635071797
2019,974287018,24.02,233936003,330798,964907482,2.5899999961257,2314590,2945.262722265552,26.6099999961257,259257775.45205322,2.3966656737886893,22.9,223111727.12199998,26982900.997999996,10824275.878000021,113.75774358683022,119.27512047495212,104.89082969432314,0.2370045247764941
2020,996862632,24.02,239349103,334826,990638276,2.5899999961257,1713283,2977.255744774898,26.6099999961257,265265146.33657855,2.3171420313433666,22.9,228281542.728,32152716.604000002,11067560.272000015,116.39367207738849,122.03505544162316,104.89082969432314,0.17157263401451056
2021,983518989,39.07,385030510,337969,985525094,2.589999996125698,4216916,2910.0863954978117,41.6599999961257,409734010.7792955,-1.3385638674436762,22.9,225225848.48099998,29097022.356999993,159804661.51900002,114.83566843896969,196.31249520315288,170.6113537117904,0.4269274791625602
2022,1018435632,44.540000000000006,454308344,340483,1020935020,2.589999996125698,5084103,2991.1497255369577,47.129999996125704,479988713.3221428,3.5501747694268504,22.9,233221759.728,37092933.604,221086584.272,118.91253536619266,231.63464267351782,194.49781659388648,0.49672740311157754
2023,1084503488,44.54,483494074,345728,1087296951,2.59,5729891,3136.869122547205,47.129999999999995,511126493.89439994,6.48719014968635,22.9,248351298.75199997,52222472.62799999,235142775.24800003,126.62661764721062,246.51534259681873,194.49781659388648,0.5255655449896108
2024,1128490752,44.54,502900789,349502,1130761168,2.59,5185675,3228.8534886781763,47.129999999999995,531857691.4175999,4.055981791365149,22.9,258424382.208,62295556.08400002,244476406.792,131.76257020200305,256.41009261376274,194.49781659388648,0.45742108387334407
